SL,PAN Style,Image,Cat Lvl_1,Cat Lvl_2,Cat Lvl_3,Item,Color,Cost (€),Price (€),S,M,L,XL,XXL,3XL,6,8,10,12,14,16,18,19,20,21,22,23,24,48,50,52,54,56,58,62,68,74,80,86,92
1,PAN2022002A,,Men,Top,T-shirt,"Men's SS T-Shirt
 ( 3 PCs Pack)",Black + Grey + Light Grey,4.99,15.28,28,144,108,108,29, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
2,PAN2022002B,,Men,Top,T-shirt,"Men's LS T-Shirt
 (3 PCs Pack)",Black + Grey + Light Grey,4.99,15.28,70,151,154,154,70,70, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
3,,,Men,Top,T-shirt,"Men's LS T-Shirt
 (3 PCs Pack)
TLS Warehouse",Black + Grey + Light Grey,4.99,15.28,80,170,170,170,80,80, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
4,PAN2022002C,,Men,Top,T-shirt,"Men's SS & LS T-Shirt
(6 PCs Pack)",Black + Grey + Light Grey,9.95,31.35,800,700,700,700,600,600, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
5,PAN2022001,,Men,Bottom,Boxer,"Men's Boxer
(6 PCs Pack)
TLS Warehouse",Black + Grey + Light Grey,6.96,25,800,700,700,700,600,600, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
6,PAN2022003,,Kids,Top,Romper,"Baby Romper
(6 PCs Pack)
TLS Warehouse",Black + Grey + Light Grey,7.58,25.29, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,400, -   , -   ,800, -   ,800,800,800,400,400,400
7,PAN2022083,,Men,Top,PU Jacket,MENS PU JACKET,OLIVE,9.43,21.2,-,21,11,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022083H,,Men,,PU Jacket,MENS PU JACKET,CHARCOAL,9.43,21.2,-,21,12,4, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022083IM,,Men,,PU Jacket,MENS PU JACKET,BROWN,9.43,21.2,-,22,-,4,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022083JM,,Men,,PU Jacket,MENS PU JACKET,BURGUNDY,9.43,21.2,-,21,11,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
8,PAN2022084,,Men,Top,PU Jacket,MENS PU JACKET,BLACK,10.44,22.55,-,6,11, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022084C,,Men,,PU Jacket,MENS PU JACKET,BURGUNDY,10.44,22.55,-,21,8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022084B,,Men,,PU Jacket,MENS PU JACKET,BROWN,10.44,22.55,-,7,11,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
